id|date|time|description|vendor|amount
1|2024-09-16|16:31:11|Office catering|ABCatering|-345.87
2|2025-12-21|09:56:22|Invoice received for shirt delivery|Business B|1255.12
3|2026-01-08|14:22:33|Annual software subscription renewal|TechSoft LLC|-299.00
4|2026-01-30|11:45:07|Reimbursement for travel expenses|Accounting Dept.|87.50
5|2026-02-14|09:10:55|Office supply order|Staples Direct|-64.39
6|2026-03-02|10:12:01|Replaced station 11 mouse|Good Tech Inc.|-32.58
7|2026-03-04|20:11:43|Picked up a quarter|NW State St.|0.25
8|2026-03-15|13:30:00|Monthly parking pass|City Parking Auth.|-75.00
9|2026-03-20|08:55:18|Sold surplus monitor|Internal Transfer|45.00
10|2026-03-29|08:09:10|Printed flyers|Printers and More|-152.92
11|2026-04-07|19:56:55|Invoice for advertisement|Bob's Factory|500.00
12|2026-04-12|10:04:29|Catered team lunch|FreshBowl Co.|-118.60
13|2026-04-18|15:37:44|Refund for returned headset|Good Tech Inc.|89.99
14|2026-04-22|09:21:03|Courier delivery fee|QuickShip|-18.75
15|2026-04-26|11:48:30|Purchased whiteboard markers and sticky notes|Office Essentials|-27.43